Unnamed: 0	Skupina: RIT 2 UN Erasmus., RIT 2 UN - UP2, RIT 2 UN - UP2 RV 1, RIT 	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Zadnja sprememba: 05.03.2024 13:48	Unnamed: 9
	Četrtek	09.05.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	09.05.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	09.05.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	09.05.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	10.05.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	10.05.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	13.05.2024	07:00-09:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Ponedeljek	13.05.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	13.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	13.05.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Sreda	15.05.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	15.05.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	15.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	15.05.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	15.05.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	16.05.2024	07:00-10:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Četrtek	16.05.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	16.05.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	16.05.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	16.05.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	17.05.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	17.05.2024	17:00-20:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	20.05.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	20.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	20.05.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	21.05.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	22.05.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	22.05.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	22.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	22.05.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	22.05.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	23.05.2024	07:00-10:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Četrtek	23.05.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	23.05.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	23.05.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	23.05.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	24.05.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	24.05.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	27.05.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	27.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Torek	28.05.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	29.05.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	29.05.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	29.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	29.05.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	29.05.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	30.05.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	30.05.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	30.05.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	31.05.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	31.05.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	03.06.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	03.06.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Torek	04.06.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	05.06.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	05.06.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	05.06.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	05.06.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	05.06.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	06.06.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	06.06.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	06.06.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	07.06.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	07.06.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	10.06.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	10.06.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Torek	11.06.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	12.06.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	12.06.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	12.06.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	12.06.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	12.06.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	13.06.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	13.06.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	13.06.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	14.06.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	14.06.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
